year;_STATE;_COUNTY
1972;Kansas;Douglas
1971;Kansas;Douglas
1971;Kansas;Douglas
1971;Kansas;Douglas
1971;Kansas;Douglas
1971;Kansas;Douglas
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1994;Missouri;Callaway
1976;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1972;Kansas;Johnson
1979;Illinois;Madison
1967;Illinois;Madison
1967;Illinois;Madison
1967;Illinois;Madison
1967;Illinois;Madison
1988;Missouri;Warren
1988;Missouri;Warren
1988;Missouri;St. Charles
1988;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
1994;Missouri;St. Charles
